,judul,tanggal,link
67,[SALAH] Razia Masker Di Seluruh Indonesia Dengan Denda 250 Ribu,"Sumber: 
                    facebook.com                                             Tanggal publish: 26/06/2021",https://cekfakta.com/focus/7141
68,[SALAH] Resep Obat Untuk Pasien Covid-19,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 25/06/2021",https://cekfakta.com/focus/7138
69,"[SALAH] Jateng Membludak, Media TV Hanya Liput Covid-19 di DKI Jakarta","Sumber: 
                     
                        facebook.com
 Tanggal publish: 24/06/2021",https://cekfakta.com/focus/7137
70,[SALAH] Vaksinasi Massal Gratis 22 Juni 2021 di Kota Bogor untuk Umum 18 Tahun Ke Atas,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 24/06/2021",https://cekfakta.com/focus/7135
71,[SALAH] Konsumsi Nigella Oil Menghilangkan Pendarahan di Tenggorokan Orang yang Terdampak Covid,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 24/06/2021",https://cekfakta.com/focus/7134
72,"[SALAH] “Pemkot Pekanbaru, Riau menarik vaksin Covid-19 karena keampuhan vaksin masih tarik ulur”","Sumber: 
                     
                        facebook.com
 Tanggal publish: 17/06/2021",https://cekfakta.com/focus/7099
73,[SALAH] Vaksinasi Sebabkan Varian Baru COVID-19,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 16/06/2021",https://cekfakta.com/focus/7096
74,[SALAH] Pemberian Obat Bius usai Vaksinasi Covid-19 Bisa Akibatkan Kematian,"Sumber: 
                    WhatsApp                                             Tanggal publish: 15/06/2021",https://cekfakta.com/focus/7088
75,[SALAH] Video “Eric Tohir Sangat Terbuka Menjelaskan Tentang Chip yang Ada dalam Vaksin Covid-19”,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 11/06/2021",https://cekfakta.com/focus/7075
76,[SALAH] Razia Masker di Seluruh Indonesia mengerahkan Lintas Sektor,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 08/06/2021",https://cekfakta.com/focus/7062
77,[SALAH] Bahaya Donor Darah Dari Orang yang Sudah Divaksin Covid-19,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 04/06/2021",https://cekfakta.com/focus/7040
78,[SALAH] Video 450 Kantong Jenazah Covid-19 Berisikan Kertas,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 04/06/2021",https://cekfakta.com/focus/7039
79,[SALAH] Menerima Donor Darah dari Orang yang Sudah di Vaksinasi Covid-19 Berbahaya,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 04/06/2021",https://cekfakta.com/focus/7038
80,[SALAH] Suntikan Vaksin Kosong di Indonesia,"Sumber: 
                     
                        instagram.com
 Tanggal publish: 31/05/2021",https://cekfakta.com/focus/7018
81,"[SALAH] Campuran Air Kelapa Muda, Jeruk Nipis dan Garam dapat Menyembuhkan Covid-19","Sumber: 
                    whatsapp.com                                             Tanggal publish: 30/05/2021",https://cekfakta.com/focus/7013
82,[SALAH] Memakan Bawang Merah dan Meneteskan Air Perasan Lemon ke Hidung Dapat Mengobati Covid-19,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 23/05/2021",https://cekfakta.com/focus/6978
83,[SALAH] Gejala Baru pada Virus Corona Covid-19 yang Bermutasi,"Sumber: 
                    Facebook                                             Tanggal publish: 22/05/2021",https://cekfakta.com/focus/6972
84,[SALAH] Vaksin Covid-19 Mengandung Microchip Magnetik,"Sumber: 
                     
                        Instagram.com
 Tanggal publish: 21/05/2021",https://cekfakta.com/focus/6962
85,[SALAH] Obat dan Bahan Herbal Mencegah Covid,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 20/05/2021",https://cekfakta.com/focus/6955
86,[SALAH] Magnet Bisa Menempel pada Lengan Orang yang Sudah Divaksin Covid-19,"Sumber: 
                    Facebook                                             Tanggal publish: 20/05/2021",https://cekfakta.com/focus/6953
87,[SALAH] Video Pernyataan “Netanyahu Akan Membunuh Muslim dengan Vaksin”,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 14/05/2021",https://cekfakta.com/focus/6923
88,[SALAH] Vaksin Covid-19 Beresiko Tinggi Bagi Perempuan yang Sedang Menstruasi,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 14/05/2021",https://cekfakta.com/focus/6922
89,"[SALAH] Indonesia berduka, 10 Dokter meninggal pada hari yang sama akibat terinfeksi Covid-19","Sumber: 
                    whatsapp.com                                             Tanggal publish: 11/05/2021",https://cekfakta.com/focus/6906
90,[SALAH] Foto “Kremasi massal saat melonjaknya jumlah kasus infeksi Covid-19 India”,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 04/05/2021",https://cekfakta.com/focus/6864
91,[SALAH] Pesan Berantai Mengatasnamakan Satgas Covid-19 Pusat,"Sumber: 
                    Facebook                                             Tanggal publish: 03/05/2021",https://cekfakta.com/focus/6861
92,"[SALAH] Covid-19 Adalah Bakteri yang Terpapar Radiasi, Sumber: Kementerian Kesehatan Rusia","Sumber: 
                    whatsapp.com                                             Tanggal publish: 03/05/2021",https://cekfakta.com/focus/6858
93,[SALAH] Video “Seseorang yang wafat karena terinfeksi virus Covid-19 mempercayakan teman baiknya untuk membuang uangnya di Times Square di New York”,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 02/05/2021",https://cekfakta.com/focus/6849
94,[SALAH] Vaksin Covid-19 Pfizer Bakal Ditambah Chip Microsoft untuk Kurangi Gejala,"Sumber: 
                    Facebook                                             Tanggal publish: 27/04/2021",https://cekfakta.com/focus/6815
95,[SALAH] Foto Seorang Lansia Menggunakan Alat Bantu Pernapasan di Jalan karena Kasus Covid-19 di India Meningkat Drastis,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 25/04/2021",https://cekfakta.com/focus/6803
96,[SALAH] Ketua DPRD Mimika Meninggal Akibat Vaksin,"Sumber: 
                    facebook.com                                             Tanggal publish: 24/04/2021",https://cekfakta.com/focus/6797
97,[SALAH] Foto Seorang Anak Memberikan Masker Gratis Kepada Warga Tidak Mampu,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 23/04/2021",https://cekfakta.com/focus/6785
98,[SALAH] Makan Bawang Mentah dan Garam bisa Ubah Positif Covid-19 Menjadi Negatif setelah 15 Menit,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 21/04/2021",https://cekfakta.com/focus/6768
99,"[SALAH] Kenaikan Limfosit Usai Vaksin, Sebabkan Kematian","Sumber: 
                     
                        instagram.com
 Tanggal publish: 21/04/2021",https://cekfakta.com/focus/6765
100,[SALAH] Video Membuang Uang di Times Square untuk Teman Baiknya yang Meninggal karena Covid-19,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 20/04/2021",https://cekfakta.com/focus/6756
101,[SALAH] Video Seorang Kakek Ditahan Karena Tidak Memakai Masker Setelah Vaksinasi,"Sumber: 
                     
                        instagram.com
 Tanggal publish: 19/04/2021",https://cekfakta.com/focus/6748
102,[SALAH] Seluruh Hewan Percobaan Vaksin Covid-19 Terbukti Mati Karena Suntik Vaksin,"Sumber: 
                     
                        Media
 Tanggal publish: 19/04/2021",https://cekfakta.com/focus/6743
103,[SALAH] Tim Vaksinasi GSP Cari Data Penerima Vaksin,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 19/04/2021",https://cekfakta.com/focus/6741
104,"[SALAH] Positif Covid Disebabkan oleh Kekurangan Vitamin, Bukan oleh Virus","Sumber: 
                     
                        twitter.com
 Tanggal publish: 16/04/2021",https://cekfakta.com/focus/6725
105,[SALAH] Kota Tarakan Kalimantan Utara Bebas Covid-19,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 15/04/2021",https://cekfakta.com/focus/6718
106,[SALAH] Pentagon Ciptakan Mikrochip Deteksi Covid-19,"Sumber: 
                    Facebook                                             Tanggal publish: 15/04/2021",https://cekfakta.com/focus/6715
107,[SALAH] “Korban Vaksin Lagi. Kini anggota Brimob di Maluku”,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 13/04/2021",https://cekfakta.com/focus/6695
108,[SALAH] Pemerintah Inggris Menurunkan Status Covid-19 Karena Covid-19 Bisa Sembuh dengan Paracetamol,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 13/04/2021",https://cekfakta.com/focus/6694
109,[SALAH] Penggunaan Masker dapat Menyebabkan Kematian Akibat Covid-19,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 11/04/2021",https://cekfakta.com/focus/6686
110,[SALAH] “Masker impor china ada cacing atau ulat”,"Sumber: 
                     
                        Youtube.com
 Tanggal publish: 08/04/2021",https://cekfakta.com/focus/6677
111,[SALAH] Muhammadiyah Larang Masyarakat dengan KTP Non-Islam Ikut Vaksin,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 08/04/2021",https://cekfakta.com/focus/6675
112,[SALAH] Vaksin Covid-19 Pfizer Dijual Online di Malaysia,"Sumber: 
                    WhatsApp                                             Tanggal publish: 08/04/2021",https://cekfakta.com/focus/6674
113,[SALAH] Cacing dalam Masker Impor dari China,"Sumber: 
                    YouTube                                             Tanggal publish: 08/04/2021",https://cekfakta.com/focus/6673
114,[SALAH] Vaksin Melemahkan Kekuatan TNI,"Sumber: 
                     
                        Instagram.com
 Tanggal publish: 08/04/2021",https://cekfakta.com/focus/6668
115,[SALAH] Website Portal Vaksin Covid-19 “corporate-realty.co”,"Sumber: 
                    Tangkapan Layar                                             Tanggal publish: 06/04/2021",https://cekfakta.com/focus/6653
116,[SALAH] Vaksin Covid-19 Merusak Sel Otak dan Sel Darah,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 06/04/2021",https://cekfakta.com/focus/6651
117,[SALAH] Vaksin Bisa Merusak Sel Darah dan Sel Otak,"Sumber: 
                    Facebook                                             Tanggal publish: 05/04/2021",https://cekfakta.com/focus/6645
118,[SALAH] Postingan Terkait Antibodi dan Covid-19 dari Dekan IPB,"Sumber: 
                    Facebook                                             Tanggal publish: 31/03/2021",https://cekfakta.com/focus/6624
119,[SALAH] Bantuan Penanganan Covid-19 untuk Pondok Pesantren dan Panti Asuhan oleh Wakil Ketua DPRD Pasuruan,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 31/03/2021",https://cekfakta.com/focus/6614
120,"[SALAH] Khawatir Tim Medis Lupa Jenis Vaksin yang Diberikan, Sertifikat Vaksin Harus Disimpan","Sumber: 
                     
                        facebook.com
 Tanggal publish: 30/03/2021",https://cekfakta.com/focus/6608
121,[SALAH] “setelah vaksin Covid-19 selama 5 bulan tak boleh minum yg mengandung alkohol”,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 28/03/2021",https://cekfakta.com/focus/6596
122,[SALAH] Guru di Garut Lumpuh Usai Divaksin Covid-19,"Sumber: 
                    WhatsApp                                             Tanggal publish: 26/03/2021",https://cekfakta.com/focus/6593
123,[SALAH] Dilarang Mengonsumsi Tape Singkong Usai Divaksin Covid-19,"Sumber: 
                    WhatsApp                                             Tanggal publish: 26/03/2021",https://cekfakta.com/focus/6592
