judul,tanggal,link
[SALAH] Pernyataan “Semua orang yang divaksinasi akan mati dalam 2 tahun” oleh Luc Montagnier,20 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-pernyataan-semua-orang-yang-divaksinasi-akan-mati-dalam-2-tahun-oleh-luc-montagnier
[SALAH] Imbauan Lepas Masker Mulai Rabu 21 Juli 2021 oleh Bupati Jember,20 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-imbauan-lepas-masker-mulai-rabu-21-juli-2021-oleh-bupati-jember
[SALAH] “Semangkin Gawat Indonesia sekarang ini! Banyaknya Rumah Sakit Penerima Vaksin Palsu!”,19 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-semangkin-gawat-indonesia-sekarang-ini-banyaknya-rumah-sakit-penerima-vaksin-palsu
[SALAH] Nilai CT Pada Tes PCR Menentukan Kesembuhan Pasien Covid-19,19 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-nilai-ct-pada-tes-pcr-menentukan-kesembuhan-pasien-covid-19
[SALAH] Banyaknya Varian Covid-19 Muncul Setelah Vaksinasi Dilakukan,19 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-banyaknya-varian-covid-19-muncul-setelah-vaksinasi-dilakukan
[SALAH] Labu Kuning Kukus Dapat Sembuhkan Covid-19,19 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-labu-kuning-kukus-dapat-sembuhkan-covid-19
[SALAH] Chemtrails Penyebar Virus Penyakit Muncul di Langit Pantura,19 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-chemtrails-penyebar-virus-penyakit-muncul-di-langit-pantura
Awas Hoaks: Seorang Pria Tewas karena Makan Durian setelah Divaksin,19 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-seorang-pria-tewas-karena-makan-durian-setelah-divaksin
[SALAH] Foto Ajakan untuk Stop Upload Berita Covid-19 oleh Pemerintah Kabupaten Gresik,18 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-foto-ajakan-untuk-stop-upload-berita-covid-19-oleh-pemerintah-kabupaten-gresik
[SALAH] Tabung Selam Dapat Digunakan sebagai Pengganti Tabung Oksigen Medis,18 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-tabung-selam-dapat-digunakan-sebagai-pengganti-tabung-oksigen-medis
"[SALAH] Video “Di Probolinggo, 16 Juli 2021 Meninggal bersama 5 orang serumah setelah di vaksin”",18 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-di-probolinggo-16-juli-2021-meninggal-bersama-5-orang-serumah-setelah-di-vaksin
[SALAH] Video “Potensi Bahaya Vaksin COVID-19”,17 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-potensi-bahaya-vaksin-covid-19
[SALAH] “baru perjalanan AS ke Indonesia sudah susut 1 juta”,17 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-baru-perjalanan-ke-indonesia-sudah-susut-1-juta
[SALAH] Air Keran Dapat Positif Covid-19 Setelah Ditest Menggunakan Device Rapid Test Antigen,17 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-air-keran-dapat-positif-covid-19-setelah-ditest-menggunakan-device-rapid-test-antigen
[SALAH] Daun Teh Pinus Putih hentikan bahaya Vaksin Covid-19,17 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-daun-teh-pinus-putih-hentikan-bahaya-vaksin-covid-19
"Awas Hoaks: Racikan Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Membunuh Virus COVID-19",17 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-racikan-air-kelapa-muda-jeruk-nipis-garam-dan-madu-dapat-membunuh-virus-covid-19
[SALAH] “Tidak ada mesjid yang akan ditutup di Turki dari ancaman virus corona”,16 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-tidak-ada-mesjid-yang-akan-ditutup-di-turki-dari-ancaman-virus-corona
[SALAH] Video Rombongan WNA di Bandara Soekarno-Hatta,16 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-rombongan-wna-di-bandara-soekarno-hatta
Awas Hoaks: Penyebab Kematian Pasien Covid-19 Bukan karena Virus Corona,16 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-penyebab-kematian-pasien-covid-19-bukan-karena-virus-corona
[SALAH] Foto Akting Plandemi Kantong Mayat Palsu di India,15 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-foto-akting-plandemi-kantong-mayat-palsu-di-india
[SALAH] Berkumur dengan Air Garam dan Meminum Air Hangat Dapat Membunuh Virus Corona di Dalam Perut,15 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-berkumur-dengan-air-garam-dan-meminum-air-hangat-dapat-membunuh-virus-corona-di-dalam-perut
[SALAH] Video “Mereka menguburkan Peti Mati yg kosong untuk menakut2i rakyat”,15 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-mereka-menguburkan-peti-mati-yg-kosong-untuk-menakut2i-rakyat
"[SALAH] Cuci Hidung dengan NaCl 0,9% dapat Menghilangkan Virus dan Bakteri di Lubang Hidung",14 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-cuci-hidung-dengan-nacl-09-dapat-menghilangkan-virus-dan-bakteri-di-lubang-hidung
[SALAH] Detektor Radiasi Elektromagnetik dapat Mendeteksi Radiasi dari Vaksin Covid-19,14 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-detektor-radiasi-elektromagnetik-dapat-mendeteksi-radiasi-dari-vaksin-covid-19
Awas Hoaks: SPBU Tutup Sementara dari 12 sampai 17 Juli 2021,14 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-spbu-tutup-sementara-dari-12-sampai-17-juli-2021
"[SALAH] Video “Mesjid ditutup sementara, KATEDRAL BUKA UNTUK IBADAH MINGGU. rezim kurang ajar”",13 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-mesjid-ditutup-sementara-katedral-buka-untuk-ibadah-minggu-rezim-kurang-ajar
[SALAH] Video Akting Plandemi Jenazah Pasien Covid-19 dapat Bergerak,13 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-akting-plandemi-jenazah-pasien-covid-19-dapat-bergerak
[SALAH] Relawan Siaga Meluncurkan Program Pengisian Oksigen Gratis,12 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-relawan-siaga-meluncurkan-program-pengisian-oksigen-gratis
"[SALAH] Racikan Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Membunuh Virus Covid-19",12 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-racikan-air-kelapa-muda-jeruk-nipis-garam-dan-madu-dapat-membunuh-virus-covid-19
