judul,tanggal,link
Kuasa Hukum Klaim Aa Umbara Tak Intervensi Pengadaan Bansos KBB,"detikNewsSabtu, 04 Sep 2021 14:59 WIB",https://news.detik.com/berita-jawa-barat/d-5709794/kuasa-hukum-klaim-aa-umbara-tak-intervensi-pengadaan-bansos-kbb
"Rumah Tapak Masih Diburu, Ciputra Ramal Masih Ramai Pascapandemi","detikFinanceSabtu, 04 Sep 2021 14:39 WIB",https://finance.detik.com/properti/d-5709780/rumah-tapak-masih-diburu-ciputra-ramal-masih-ramai-pascapandemi
"Tambah Daya Listrik Bayar Rp 202.100, Cek Nih Syaratnya","detikFinanceSabtu, 04 Sep 2021 14:36 WIB",https://finance.detik.com/energi/d-5709778/tambah-daya-listrik-bayar-rp-202100-cek-nih-syaratnya
Saat Ribuan Warga Tulungagung Berburu Ikan Saat Dam Boyolangu Dikuras,"detikNewsSabtu, 04 Sep 2021 14:36 WIB",https://news.detik.com/berita-jawa-timur/d-5709777/saat-ribuan-warga-tulungagung-berburu-ikan-saat-dam-boyolangu-dikuras
"Jokowi Tolak Perpanjangan Masa Jabatan Presiden, JoMan Manut","detikNewsSabtu, 04 Sep 2021 14:35 WIB",https://news.detik.com/berita/d-5709776/jokowi-tolak-perpanjangan-masa-jabatan-presiden-joman-manut
Heboh Hero Jual IKEA Sentul City Rp 280 Miliar,"detikFinanceSabtu, 04 Sep 2021 14:15 WIB",https://finance.detik.com/properti/d-5709461/heboh-hero-jual-ikea-sentul-city-rp-280-miliar
Ngeri! Tamu Pesta Ultah Selebgram Makassar Ternyata Ada Positif COVID,"detikNewsSabtu, 04 Sep 2021 14:08 WIB",https://news.detik.com/berita/d-5709755/ngeri-tamu-pesta-ultah-selebgram-makassar-ternyata-ada-positif-covid
Keren! Kreator Bandung Tawarkan Sensasi WFH-Belajar Online 'Ala Gamers',"detikNewsSabtu, 04 Sep 2021 14:06 WIB",https://news.detik.com/berita-jawa-barat/d-5709753/keren-kreator-bandung-tawarkan-sensasi-wfh-belajar-online-ala-gamers
Filipina Cabut Larangan Masuk Bagi Pelancong dari Indonesia,"detikNewsSabtu, 04 Sep 2021 14:02 WIB",https://news.detik.com/internasional/d-5709750/filipina-cabut-larangan-masuk-bagi-pelancong-dari-indonesia
"Pintar di Sekolah, Bocah Kembar Siam Dempet Perut Hobi Menggambar","detikNewsSabtu, 04 Sep 2021 13:45 WIB",https://news.detik.com/berita-jawa-barat/d-5709738/pintar-di-sekolah-bocah-kembar-siam-dempet-perut-hobi-menggambar
"Ahn Yu Jin Positif COVID-19, Ini Gejala yang Dialami!","detikHotSabtu, 04 Sep 2021 13:38 WIB",https://hot.detik.com/kpop/d-5709675/ahn-yu-jin-positif-covid-19-ini-gejala-yang-dialami
Anies Sebut 15% Anak di Jakarta Belum Vaksin COVID karena Terkendala Izin Ortu,"detikNewsSabtu, 04 Sep 2021 13:35 WIB",https://news.detik.com/berita/d-5709712/anies-sebut-15-anak-di-jakarta-belum-vaksin-covid-karena-terkendala-izin-ortu
"Miles Teller Positif Covid, Syuting Serial 'The Godfather' Disetop","detikHotSabtu, 04 Sep 2021 13:28 WIB",https://hot.detik.com/detiktv/d-5709736/miles-teller-positif-covid-syuting-serial-the-godfather-disetop
"DPD Golkar DKI Gelar Vaksinasi COVID-19, Target 1 Juta Orang Divaksin","detikNewsSabtu, 04 Sep 2021 13:08 WIB",https://news.detik.com/berita/d-5709676/dpd-golkar-dki-gelar-vaksinasi-covid-19-target-1-juta-orang-divaksin
"Kemenkes Bicara Beda Varian Corona Mu Vs Varian Delta, Mana yang Lebih Menular?","detikHealthSabtu, 04 Sep 2021 13:01 WIB",https://health.detik.com/berita-detikhealth/d-5709670/kemenkes-bicara-beda-varian-corona-mu-vs-varian-delta-mana-yang-lebih-menular
Ridwan Kamil Segera Bikin Monumen Perjuangan COVID-19 di Bandung,"detikNewsSabtu, 04 Sep 2021 12:56 WIB",https://news.detik.com/berita-jawa-barat/d-5709669/ridwan-kamil-segera-bikin-monumen-perjuangan-covid-19-di-bandung
Dokter di Enrekang Diminta Diam oleh IDI Usai Posting Tak Percaya COVID-19,"detikNewsSabtu, 04 Sep 2021 12:52 WIB",https://news.detik.com/berita/d-5709665/dokter-di-enrekang-diminta-diam-oleh-idi-usai-posting-tak-percaya-covid-19
"Tiru Manusia, Monyet pun Bisa Pakai Masker","detikTravelSabtu, 04 Sep 2021 12:42 WIB",https://travel.detik.com/travel-news/d-5709282/tiru-manusia-monyet-pun-bisa-pakai-masker
AS Sudah Suntikkan Lebih dari 373 Juta Dosis Vaksin Corona,"detikNewsSabtu, 04 Sep 2021 12:40 WIB",https://news.detik.com/internasional/d-5709646/as-sudah-suntikkan-lebih-dari-373-juta-dosis-vaksin-corona
"ARMY! Ini 6 Makanan Favorit Jungkook BTS, Roti Kismis hingga Pizza","detikFoodSabtu, 04 Sep 2021 12:30 WIB",https://food.detik.com/info-kuliner/d-5709615/army-ini-6-makanan-favorit-jungkook-bts-roti-kismis-hingga-pizza
Kebijakan Gage Tekan Volume Kendaraan Masuk Bandung Via Tol,"detikNewsSabtu, 04 Sep 2021 12:21 WIB",https://news.detik.com/berita-jawa-barat/d-5709619/kebijakan-gage-tekan-volume-kendaraan-masuk-bandung-via-tol
"Polisi: Kami Akan Perangi Terus Narkoba, Apalagi di Kalangan Artis!","detikNewsSabtu, 04 Sep 2021 12:16 WIB",https://news.detik.com/berita/d-5709614/polisi-kami-akan-perangi-terus-narkoba-apalagi-di-kalangan-artis
100 Juta 'Sultan' di RI Tak Dapat Vaksin Gratis Lagi Tahun Depan,"detikFinanceSabtu, 04 Sep 2021 12:15 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-5709384/100-juta-sultan-di-ri-tak-dapat-vaksin-gratis-lagi-tahun-depan
Dokter di Enrekang yang Tak Percaya COVID-19 Buka Suara,"detikNewsSabtu, 04 Sep 2021 12:13 WIB",https://news.detik.com/berita/d-5709612/dokter-di-enrekang-yang-tak-percaya-covid-19-buka-suara
Mourinho ke Granit Xhaka: Segera Vaksin COVID-19!,"SepakbolaSabtu, 04 Sep 2021 12:00 WIB",https://sport.detik.com/sepakbola/bola-dunia/d-5709480/mourinho-ke-granit-xhaka-segera-vaksin-covid-19
Terbaru! Kebersihan Hotel dan Destinasi di Atas Segalanya buat Traveler,"detikTravelSabtu, 04 Sep 2021 11:43 WIB",https://travel.detik.com/travel-news/d-5709276/terbaru-kebersihan-hotel-dan-destinasi-di-atas-segalanya-buat-traveler
Polisi Cari Pemasok Sabu 'Tingkat Atas' di Kasus Coki Pardede,"detikNewsSabtu, 04 Sep 2021 11:23 WIB",https://news.detik.com/berita/d-5709537/polisi-cari-pemasok-sabu-tingkat-atas-di-kasus-coki-pardede
"Kreasi Bonsai Kelapa Raup Cuan, Pandemi Bukan Alasan Berpangku Tangan","detikNewsSabtu, 04 Sep 2021 11:16 WIB",https://news.detik.com/berita-jawa-tengah/d-5709535/kreasi-bonsai-kelapa-raup-cuan-pandemi-bukan-alasan-berpangku-tangan
Dari Hotel Bintang 5 di Dubai Sukses Buka Gerai Sushi dari Garasi,"detikFoodSabtu, 04 Sep 2021 11:00 WIB",https://food.detik.com/berita-boga/d-5709454/dari-hotel-bintang-5-di-dubai-sukses-buka-gerai-sushi-dari-garasi
Ninik Rahayu Soroti Sistem Aduan di KPI Usai Ada Kasus Dugaan Pelecehan Seks,"detikNewsSabtu, 04 Sep 2021 10:50 WIB",https://news.detik.com/berita/d-5709510/ninik-rahayu-soroti-sistem-aduan-di-kpi-usai-ada-kasus-dugaan-pelecehan-seks
"Cegah Euforia, Ridwan Kamil Awasi Area Puncak Bogor-Dipatiukur Bandung","detikNewsSabtu, 04 Sep 2021 10:36 WIB",https://news.detik.com/berita-jawa-barat/d-5709504/cegah-euforia-ridwan-kamil-awasi-area-puncak-bogor-dipatiukur-bandung
Lalin Arah Puncak Macet Parah Jelang Titik Penyekatan Ganjil Genap,"detikNewsSabtu, 04 Sep 2021 10:17 WIB",https://news.detik.com/berita-jawa-barat/d-5709479/lalin-arah-puncak-macet-parah-jelang-titik-penyekatan-ganjil-genap
China Pasok 1 Miliar Vaksin Corona untuk Dunia Tapi Kesulitan Suntik Warganya,"detikHealthSabtu, 04 Sep 2021 10:16 WIB",https://health.detik.com/berita-detikhealth/d-5709477/china-pasok-1-miliar-vaksin-corona-untuk-dunia-tapi-kesulitan-suntik-warganya
Selandia Baru Laporkan Kematian Pertama Akibat Corona Varian Delta,"detikNewsSabtu, 04 Sep 2021 10:12 WIB",https://news.detik.com/internasional/d-5709474/selandia-baru-laporkan-kematian-pertama-akibat-corona-varian-delta
"Agar Laris Manis, Sandiaga Uno Siap Viralkan Kue Cubit Topping Keju dan Oreo","detikFoodSabtu, 04 Sep 2021 10:00 WIB",https://food.detik.com/info-kuliner/d-5709389/agar-laris-manis-sandiaga-uno-siap-viralkan-kue-cubit-topping-keju-dan-oreo
Beda Virus Corona Varian Mu dan Delta,"detikHealthSabtu, 04 Sep 2021 09:56 WIB",https://health.detik.com/detiktv/d-5709464/beda-virus-corona-varian-mu-dan-delta
"Ada Antrean Vaksinasi COVID, Jalan Merdeka Depok Macet","detikNewsSabtu, 04 Sep 2021 09:52 WIB",https://news.detik.com/berita/d-5709460/ada-antrean-vaksinasi-covid-jalan-merdeka-depok-macet
"Kemenhub Dukung Penerapan Gage di Puncak, Antisipasi Macet Parah Saat Weekend","detikNewsSabtu, 04 Sep 2021 09:50 WIB",https://news.detik.com/berita/d-5709457/kemenhub-dukung-penerapan-gage-di-puncak-antisipasi-macet-parah-saat-weekend
Negara Bagian Australia Ini Raup Rp 26 Miliar dari Denda COVID-19,"detikTravelSabtu, 04 Sep 2021 09:43 WIB",https://travel.detik.com/travel-news/d-5709266/negara-bagian-australia-ini-raup-rp-26-miliar-dari-denda-covid-19
